Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),One main DB and a read replica,Amazon RDS for PostgreSQL,0,1761.3600000000001,21136.32,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Instance type (db.m5.large), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),Web servers and App servers,Amazon EC2,0,432.85,5194.20,USD,"Operating system (Linux), Quantity (16), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (t3.medium)"
My Estimate,US East (N. Virginia),Two load balancers,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Two NAT gateways (one in each public subnet),Amazon Virtual Private Cloud (VPC),0,1448.1,17377.20,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,2201.51,26418.12,USD,"DT Inbound: Internet (20 TB per month), DT Outbound: Internet (20 TB per month), DT Intra-Region: (20 TB per month), Data transfer cost (2201.51)"
My Estimate,US East (N. Virginia),,S3 Standard,0,540.82,6489.84,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (20 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
